Ferrovia;Ano;Pátio;Código;Em Operação;Auto Assistido;Comprimento Útil de Desvio (m);Tempo Médio Licenc. (min.);Linhas de Referência
MRS;2025.0;Barão de Angra;FBN;Sim;Sim;1817.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 192,461), Três Rios - Japeri (km 192,506)
MRS;2025.0;Posto km 194;FCQ;Sim;Sim;1527.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 194,000), Três Rios - Japeri (km 194,000)
MRS;2025.0;Três Rios;FTR;Não;Não;449.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 197,613), Três Rios - Japeri (km 197,657), Três Rios - Recreio (km 179,563)
MRS;2025.0;Fernandes Pinheiro;FFP;Sim;Sim;1885.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 204,433)
MRS;2025.0;Souza Aguiar;FSA;Sim;Sim;1794.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 217,010)
MRS;2025.0;Afonso Arinos;FAA;Sim;Sim;1631.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 229,189)
MRS;2025.0;Cotegipe;FOT;Sim;Sim;1999.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 245,086)
MRS;2025.0;Posto km 250;FDC;Sim;Sim;2069.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 250,000)
MRS;2025.0;Posto km 261;FDS;Sim;Sim;1786.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 261,000)
MRS;2025.0;Posto km 271;FDU;Sim;Sim;2200.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 271,000)
MRS;2025.0;Francisco Bernardino;FFB;Sim;Sim;2472.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 281,577)
MRS;2025.0;Dias Tavares;FDT;Sim;Sim;2813.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 293,771)
MRS;2025.0;Posto km 298;FDN;Sim;Sim;2070.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 298,000)
MRS;2025.0;Ewbanck da Câmara;FEB;Sim;Sim;1685.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 310,015)
MRS;2025.0;Santos Dumont;FSD;Sim;Sim;2441.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 322,000)
MRS;2025.0;Recenvindo;FRV;Sim;Sim;2209.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 330,331)
MRS;2025.0;Mantiqueira;FMQ;Sim;Sim;3037.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 335,358)
MRS;2025.0;Rocha Dias;FRD;Sim;Sim;2255.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 344,417)
MRS;2025.0;Posto km 63;FQT;Sim;Sim;500.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 348,000)
MRS;2025.0;João Aires;FJA;Sim;Sim;1683.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 351,654)
MRS;2025.0;Cel. Araújo;FLJ;Sim;Sim;1584.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 357,000)
MRS;2025.0;Antonio Carlos;FAS;Sim;Sim;1723.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 363,252)
MRS;2025.0;Dr. Sá Fortes;FSF;Sim;Sim;2293.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 368,382)
MRS;2025.0;Gen. Dorival  de Brito;FDB;Sim;Sim;2080.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 384,839)
MRS;2025.0;Cachoeira;FCH;Sim;Sim;2077.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 392,000)
MRS;2025.0;Eng. Drumont;FEV;Sim;Sim;1819.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 398,486)
MRS;2025.0;Eng. Simão Tamm;FET;Sim;Sim;1726.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 409,478)
MRS;2025.0;Condutor Castro;FCN;Sim;Sim;2706.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 415,008)
MRS;2025.0;Ilídio;FIL;Sim;Sim;2127.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 424,899)
MRS;2025.0;Carandai;FCY;Sim;Sim;2603.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 431,095)
MRS;2025.0;Pedra do Sino;FPE;Sim;Sim;2307.0;3.0;Posto km 64 - 452 (Linha do Centro) (km 441,000)
