Ferrovia;Ano;Pátio de Referência;Terminal;Mercadoria;Capacidade_Vg/dia;Capacidade_TU/dia;Nº Horas Func. Dia;Tempo Médio de Carga_Vg/h;Tempo Médio de Carga_TU/h;Tempo Médio de Descarga_Vg/h;Tempo Médio de Descarga_TU/h
MRS;2025.0;Suzano Novo (ISU, MRS);ILB;Contêiner Cheio/Vazio;26.0;2158.0;10.0;2.6;215.8;2.6;215.8
MRS;2025.0;Terminal Paraibuna de Metais (FPM, MRS);FDW;Zinco;10.0;940.0;24.0;0.4;39.2;0.4;39.2
MRS;2025.0;Utinga (IUT, MRS);ICS;Prd.Siderúrgicos - Outros;15.0;975.0;16.0;0.9;60.9;0.9;60.9
MRS;2025.0;Várzea Paulista (OVP, MRS);IEK;Enxofre;18.0;990.0;10.0;1.8;99.0;1.8;99.0
MRS;2025.0;Volta Redonda (FVR, MRS);FDA;Prd.Siderúrgicos - Outros;50.0;3350.0;24.0;2.1;139.6;2.1;139.6
MRS;2025.0;Volta Redonda (FVR, MRS);FDA;Calcário;21.0;1428.0;24.0;0.9;59.5;0.9;59.5
MRS;2025.0;Volta Redonda (FVR, MRS);FNL;Cimento acondicionado;30.0;2370.0;24.0;1.3;98.8;1.3;98.8
MRS;2025.0;Volta Redonda (FVR, MRS);FNL;Carvão;158.0;7762.0;24.0;6.6;323.4;6.6;323.4
MRS;2025.0;Volta Redonda (FVR, MRS);FNL;Coque;21.0;1200.0;24.0;0.9;50.0;0.9;50.0
MRS;2025.0;Volta Redonda (FVR, MRS);FNL;Minério de Ferro;503.0;26431.0;24.0;21.0;1101.3;21.0;1101.3
