Ferrovia;Ano;Linha;Perfil Trilho_Perfil;Perfil Trilho_Faixa km;Fixação_Tipo;Fixação_Faixa km;Dormente_Tipo;Dormente_Faixa km;Taxa de Dormentação_Taxa (dorm/km);Taxa de Dormentação_Faixa km;Gabarito Horizontal_Gabarito (m);Gabarito Horizontal_Faixa km;Gabarito Vertical_Gabarito (m);Gabarito Vertical_Faixa km;VMA Trem Carregado_VMA (km/h);VMA Trem Carregado_Faixa km;VMA Trem Vazio_VMA (km/h);VMA Trem Vazio_Faixa km;VMA Produto Perigoso_VMA (km/h);VMA Produto Perigoso_Faixa km;VMC Trem Carregado_VMC (km/h);VMC Trem Carregado_Faixa km;VMC Trem Vazio_VMC (km/h);VMC Trem Vazio_Faixa km;VMC Produto Perigoso_VMC (km/h);VMC Produto Perigoso_Faixa km;Carga Máx. por Eixo_Carga (t);Carga Máx. por Eixo_Faixa km
MRS;2025.0;Ligação Pereque - Cubatão;TR 57;12,248 à 14,000;Ríg/Flex;12,248 à 14,000;Madeira;12,248 à 14,000;1850.0;12,248 à 14,000;2.0;12,248 à 14,000;2.0;12,248 à 14,000;20.0;12,248 à 14,000;20.0;12,248 à 14,000;20.0;12,248 à 14,000;10.0;12,248 à 14,000;10.0;12,248 à 14,000;0.0;12,248 à 14,000;32.0;12,248 à 14,000
MRS;2025.0;Ligação Pereque - Areais;TR 57;14,000 à 15,000;Ríg/Flex;14,000 à 15,000;Madeira;14,000 à 15,000;1850.0;14,000 à 15,000;2.0;14,000 à 15,000;2.0;14,000 à 15,000;20.0;14,000 à 15,000;20.0;14,000 à 15,000;20.0;14,000 à 15,000;10.0;14,000 à 15,000;9.0;14,000 à 15,000;0.0;14,000 à 15,000;32.0;14,000 à 15,000
MRS;2025.0;Ramal do Terminal de Cimento Barroso;TR 57;0,000 à 1,000;Ríg/Flex;0,000 à 1,000;Madeira;0,000 à 1,000;1850.0;0,000 à 1,000;2.0;0,000 à 1,000;2.0;0,000 à 1,000;20.0;0,000 à 1,000;20.0;0,000 à 1,000;20.0;0,000 à 1,000;20.0;0,000 à 1,000;20.0;0,000 à 1,000;0.0;0,000 à 1,000;32.0;0,000 à 1,000
MRS;2025.0;Ramal do Terminal da Paraibuna Metais;TR 57;0,000 à 6,000;Ríg/Flex;0,000 à 6,000;Madeira;0,000 à 6,000;1850.0;0,000 à 6,000;2.0;0,000 à 6,000;2.0;0,000 à 6,000;20.0;0,000 à 6,000;20.0;0,000 à 6,000;20.0;0,000 à 6,000;6.0;0,000 à 6,000;6.0;0,000 à 6,000;0.0;0,000 à 6,000;32.0;0,000 à 6,000
MRS;2025.0;Ramal de Mogi das Cruzes;TR 57;407,443 à 462,548;Ríg/Flex;407,443 à 462,548;Madeira;407,443 à 462,548;1850.0;407,443 à 462,548;2.0;407,443 à 462,548;2.0;407,443 à 462,548;40.0;407,443 à 462,548;40.0;407,443 à 462,548;25.0;407,443 à 462,548;10.0;407,443 à 462,548;10.0;407,443 à 462,548;0.0;407,443 à 462,548;32.0;407,443 à 462,548
MRS;2025.0;Segregação Leste;TR 68;27,047 à 39,095;Flexível;27,047 à 39,095;Madeira;27,047 à 39,095;1850.0;27,047 à 39,095;2.0;27,047 à 39,095;2.0;27,047 à 39,095;40.0;27,047 à 39,095;50.0;27,047 à 39,095;40.0;27,047 à 39,095;14.0;27,047 à 39,095;12.0;27,047 à 39,095;12.0;27,047 à 39,095;36.0;27,047 à 39,095
MRS;2025.0;Ramal Porto Sudeste;TR 68;0,000 à 3,000;Flexível;0,000 à 3,000;Aço;0,000 à 3,000;1850.0;0,000 à 3,000;3.0;0,000 à 3,000;4.3;0,000 à 3,000;30.0;0,000 à 3,000;30.0;0,000 à 3,000;30.0;0,000 à 3,000;23.0;0,000 à 3,000;30.0;0,000 à 3,000;0.0;0,000 à 3,000;36.0;0,000 à 3,000
MRS;2025.0;Posto km 64 - 452 (Linha do Centro);;;Flexível;108,222 à 452,000;;;;;0.0;;0.0;;40.0;65,500 à 89,876;50.0;65,500 à 89,876;30.0;106,171 à 111,750;;;;;;;32.0;108,222 à 452,000
MRS;2025.0;Posto km 64 - 452 (Linha do Centro);;;;;;;;;0.0;;0.0;;40.0;89,876 à 91,500;50.0;89,876 à 91,500;40.0;111,750 à 452,000;;;;;;;;
MRS;2025.0;Posto km 64 - 452 (Linha do Centro);;;;;;;;;0.0;;0.0;;50.0;91,500 à 96,850;50.0;91,500 à 96,850;;;;;;;;;;
